exit_time,GOLD_BASE_A,GOLD_NYJUDAS,EURUSD_BASE_A,EURUSD_NYJUDAS,GBPUSD_BASE_A,GBPUSD_NYTREND,USDJPY_BASE_A
2026-06-11,0.0,0.0,0.0,0.843,0.0,-1.122,0.0
2026-06-12,0.0,0.986,0.0,0.0,0.519,0.0,0.632
2026-06-15,0.0,0.98,0.0,0.0,0.0,0.0,0.0
2026-06-16,-1.026,0.978,0.474,0.448,0.441,-0.332,0.499
2026-06-17,0.717,0.974,0.441,0.0,0.379,1.334,-1.315
2026-06-18,0.738,-1.015,0.0,0.0,0.591,0.0,0.0
2026-06-19,0.731,0.0,0.519,0.0,-1.217,0.0,0.0
2026-06-22,0.0,0.0,0.0,0.833,0.0,0.0,0.0
2026-06-23,-0.281,0.984,-1.21,0.061,0.47,0.013,0.556
2026-06-24,0.0,0.988,0.391,0.0,0.524,0.0,0.474
2026-06-25,0.0,0.982,0.496,0.864,0.523,-0.302,-1.255
2026-06-26,-1.019,0.982,0.516,0.0,0.517,0.0,0.468
2026-06-29,0.0,-1.017,0.0,0.838,0.0,0.863,0.0
2026-06-30,0.729,0.985,-1.313,-1.133,0.419,-1.105,-1.229
2026-07-01,-1.025,-1.014,-1.269,0.0,-1.329,0.263,0.543
2026-07-02,0.0,0.0,0.422,0.0,0.4,0.0,-1.269
2026-07-03,0.731,0.0,-1.235,0.134,0.498,0.0,0.628
2026-07-06,0.0,0.0,0.0,0.0,0.0,1.355,0.0
2026-07-07,-1.017,0.979,0.418,0.788,0.385,0.455,-0.586
2026-07-08,0.734,0.987,0.494,0.0,0.5,0.52,0.0
2026-07-09,0.727,0.978,-1.289,0.0,-1.292,0.0,0.531
2026-07-10,0.718,0.973,0.461,0.781,-1.297,0.0,-1.177
2026-07-13,0.0,0.98,0.0,-0.683,0.0,1.377,0.0
2026-07-14,0.317,0.0,0.415,0.0,0.422,0.0,0.547
2026-07-15,-1.028,0.0,-1.273,-1.187,-1.263,1.402,0.546
2026-07-16,0.729,0.981,0.0,0.81,-1.254,1.365,0.0
2026-07-17,0.726,0.98,0.403,0.0,0.386,0.0,-1.216
2026-07-20,0.0,0.976,0.0,-0.103,0.0,1.357,0.0
2026-07-21,0.724,0.975,0.367,-1.319,0.35,0.156,0.429
2026-07-22,-0.29200000000000004,-1.021,-1.357,0.0,0.417,0.0,0.516
2026-07-23,0.0,-0.449,0.299,0.825,-1.413,0.568,0.408
2026-07-24,-1.036,0.973,0.407,0.0,-1.319,0.0,0.521
2026-07-27,0.0,0.973,0.0,0.786,0.0,0.715,0.0
2026-07-28,0.72,0.976,0.501,-1.209,0.0,-0.897,-1.285
2026-07-29,-1.019,0.0,0.448,0.0,0.399,0.0,0.556
2026-07-30,0.0,-1.016,0.0,-1.12,0.0,0.946,0.56
2026-07-31,0.727,-1.026,0.541,-1.128,0.463,0.37,-1.045
2026-08-03,0.0,-1.022,0.0,0.805,0.0,1.358,0.679
2026-08-04,0.723,0.98,0.0,0.778,0.403,0.0,0.0
2026-08-05,0.724,-1.014,0.408,0.0,0.382,0.0,0.609
2026-08-06,0.735,0.982,-0.526,0.732,0.27,0.0,0.0
2026-08-07,-1.023,0.0,0.332,0.0,0.197,0.0,0.0
2026-08-10,0.0,0.977,0.0,0.0,0.0,-0.111,0.0
2026-08-11,0.73,0.0,0.333,0.694,0.372,-0.223,0.603
2026-08-12,-1.024,0.0,0.214,0.831,-1.463,0.366,0.485
2026-08-13,0.732,0.983,0.4,0.0,0.4,0.0,0.543
2026-08-14,0.731,0.978,0.416,0.773,0.373,-1.15,0.545
2026-08-17,0.0,0.978,0.0,-0.699,0.0,0.0,0.0
2026-08-18,0.727,-1.022,0.0,0.683,0.415,-0.91,0.59
2026-08-19,0.0,0.985,0.411,-1.17,-1.364,-1.112,0.526
2026-08-20,0.728,0.982,0.497,0.844,0.495,0.0,0.624
2026-08-21,0.73,0.985,-1.262,-0.149,-1.329,-0.488,0.601
2026-08-24,0.0,0.982,0.0,0.0,0.0,0.0,0.0
